request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_160,699.47,affordable_with_plan,partial_payment,2024-06-06:699.47|2024-06-15:546.83,2024-06-15,none,Safe to proceed via partial payment.
request_161,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_162,4663700.46,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_163,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_164,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Full payment of 80600 is safe on the request date.
request_166,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Full payment of 43802 is safe on the request date.
request_168,48951.13,affordable_with_plan,partial_payment,2026-01-07:48951.13|2026-01-15:428.87,2026-01-15,none,Safe to proceed via partial payment.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Full payment of 41976 is safe on the request date.
request_170,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_171,151.62,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_172,9528.88,affordable_with_plan,partial_payment,2024-06-05:9528.88|2024-06-15:671.12,2024-06-15,none,Safe to proceed via partial payment.
request_173,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_174,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Full payment of 2346.3 is safe on the request date.
request_176,245.51,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Full payment of 1017.6 is safe on the request date.
request_178,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_179,12573237.16,affordable_later,wait,none,2025-06-15,none,Full payment becomes safe on 2025-06-15.
request_180,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_181,531.23,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Full payment of 65714 is safe on the request date.
request_183,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_184,14512.54,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_185,482.01,affordable_with_plan,partial_payment,2025-11-06:482.01|2025-12-15:775.29,2025-12-15,none,Safe to proceed via partial payment.
request_186,7721.89,affordable_later,wait,none,2026-02-15,none,Full payment becomes safe on 2026-02-15.
request_187,37998.64,affordable_with_plan,partial_payment,2024-09-05:37998.64|2024-11-15:149501.36,2024-11-15,none,Safe to proceed via partial payment.
request_188,281.03,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Full payment of 488.4 is safe on the request date.
request_190,802.21,affordable_with_plan,partial_payment,2024-12-06:802.21|2025-02-15:1755.29,2025-02-15,none,Safe to proceed via partial payment.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Full payment of 664.4 is safe on the request date.
request_192,199.27,affordable_later,wait,none,2026-06-15,none,Full payment becomes safe on 2026-06-15.
request_193,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_194,41170.16,affordable_later,wait,none,2025-10-15,none,Full payment becomes safe on 2025-10-15.
request_195,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Full payment of 762.3 is safe on the request date.
request_197,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Full payment of 185800 is safe on the request date.
request_199,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Full payment of 21717000 is safe on the request date.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Full payment of 23997000 is safe on the request date.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Full payment of 123900 is safe on the request date.
request_203,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_204,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Full payment of 10621000 is safe on the request date.
request_206,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_207,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Full payment of 4413000 is safe on the request date.
request_209,3418.64,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_210,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_211,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_212,6457704.3,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_213,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_214,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_215,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_216,600.72,affordable_later,wait,none,2026-09-15,none,Full payment becomes safe on 2026-09-15.
request_217,21191.3,affordable_with_plan,partial_payment,2024-03-05:21191.3|2024-04-15:15988.7,2024-04-15,none,Safe to proceed via partial payment.
request_218,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_219,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_220,309.61,not_affordable,not_recommended,none,2024-08-15,none,Request is not affordable within the 90-day forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Full payment of 109800 is safe on the request date.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Full payment of 34078 is safe on the request date.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Full payment of 898.7 is safe on the request date.
request_224,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_225,12510280.78,affordable_with_plan,partial_payment,2026-07-06:12510280.78|2026-08-15:9548719.22,2026-08-15,none,Safe to proceed via partial payment.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Full payment of 157000 is safe on the request date.
request_227,23387.71,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_228,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_229,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Full payment of 3537.6 is safe on the request date.
request_231,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_232,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_233,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_234,356.75,affordable_later,wait,none,2026-08-15,none,Full payment becomes safe on 2026-08-15.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Full payment of 967.2 is safe on the request date.
request_236,8370884.95,not_affordable,not_recommended,none,2025-04-15,none,Request is not affordable within the 90-day forecast.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Full payment of 23826000 is safe on the request date.
request_238,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_239,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_240,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_241,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_242,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Full payment of 17468 is safe on the request date.
request_244,21786.08,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_245,44515.2,affordable_later,wait,none,2025-12-15,none,Full payment becomes safe on 2025-12-15.
request_246,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Full payment of 1059.3 is safe on the request date.
request_248,653.57,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_249,185.28,affordable_later,wait,none,2026-02-15,none,Full payment becomes safe on 2026-02-15.
request_250,16660.16,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_251,862.91,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_252,5880166.58,affordable_later,wait,none,2026-08-15,none,Full payment becomes safe on 2026-08-15.
request_253,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_254,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Full payment of 3345000 is safe on the request date.
request_256,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_257,550.5,affordable_later,wait,none,2025-12-15,none,Full payment becomes safe on 2025-12-15.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Full payment of 1113.6 is safe on the request date.
request_259,206.97,affordable_later,wait,none,2024-11-15,none,Full payment becomes safe on 2024-11-15.
request_260,11865279.65,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Full payment of 1830.4 is safe on the request date.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Full payment of 9236000 is safe on the request date.
request_263,10294.09,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_264,26085.75,affordable_later,wait,none,2026-05-15,none,Full payment becomes safe on 2026-05-15.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Full payment of 45970 is safe on the request date.
request_266,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_267,1709.06,affordable_with_plan,partial_payment,2026-01-05:1709.06|2026-01-15:215.94,2026-01-15,none,Safe to proceed via partial payment.
request_268,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_269,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_270,231.46,not_affordable,not_recommended,none,2026-09-15,none,Request is not affordable within the 90-day forecast.
request_271,24374.43,affordable_later,wait,none,2024-11-15,none,Full payment becomes safe on 2024-11-15.
request_272,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_273,11904801.77,affordable_with_plan,partial_payment,2026-04-07:11904801.77|2026-04-15:3956198.23,2026-04-15,none,Safe to proceed via partial payment.
request_274,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Full payment of 15884000 is safe on the request date.
